hs4,gnn_score,gnn_norm,ensemble_score,density,density_norm,adamic_adar,aa_norm,ensemble_rank
2206,0.950638,0.999172,0.893592,0.176943,0.813631,0.000000,0.500000,1
2306,0.915475,0.925902,0.874095,0.186205,0.895178,0.000000,0.500000,2
7108,0.887401,0.867404,0.810698,0.175491,0.800850,0.000000,0.500000,3
9014,0.951036,1.000000,0.786650,0.136265,0.455501,0.000000,0.500000,4
8901,0.932072,0.960484,0.767690,0.138063,0.471331,0.000000,0.500000,5
0908,0.849375,0.788168,0.763051,0.175452,0.800501,0.000000,0.500000,6
2301,0.824658,0.736664,0.754359,0.183861,0.874533,0.000000,0.500000,7
4601,0.847012,0.783245,0.754032,0.173155,0.780285,0.000000,0.500000,8
8907,0.837777,0.764002,0.742734,0.173249,0.781108,0.000000,0.500000,9
7118,0.886207,0.864915,0.731983,0.146254,0.543446,0.000000,0.500000,10
8902,0.819515,0.725949,0.723104,0.174461,0.791784,0.000000,0.500000,11
0104,0.780601,0.644864,0.710396,0.188070,0.911594,0.000000,0.500000,12
9001,0.897532,0.888514,0.681765,0.121880,0.328855,0.000000,0.500000,13
7801,0.717502,0.513383,0.658030,0.198112,1.000000,0.000000,0.500000,14
0201,0.821787,0.730683,0.656067,0.148005,0.558859,0.000000,0.500000,15
4002,0.876571,0.844836,0.638310,0.115349,0.271362,0.000000,0.500000,16
0511,0.751490,0.584204,0.628343,0.170784,0.759403,0.000000,0.500000,17
9615,0.851840,0.793305,0.627931,0.123126,0.339828,0.000000,0.500000,18
8904,0.779507,0.642583,0.602729,0.147823,0.557264,0.000000,0.500000,19
9206,0.804101,0.693831,0.579923,0.127547,0.378748,0.000000,0.500000,20
2709,0.735214,0.550289,0.558243,0.151947,0.593563,0.000000,0.500000,21
3103,0.730936,0.541376,0.542880,0.148155,0.560180,0.000000,0.500000,22
1402,0.628725,0.328397,0.540172,0.195512,0.977113,0.000000,0.500000,23
4001,0.757103,0.595900,0.538974,0.134290,0.438115,0.000000,0.500000,24
8405,0.702851,0.482855,0.520556,0.152997,0.602810,0.000000,0.500000,25
5302,0.729752,0.538909,0.515672,0.138414,0.474422,0.000000,0.500000,26
1801,0.673139,0.420942,0.500321,0.159400,0.659186,0.000000,0.500000,27
8404,0.726432,0.531990,0.498712,0.133564,0.431727,0.000000,0.500000,28
3812,0.765837,0.614100,0.491972,0.112359,0.245039,0.000000,0.500000,29
9209,0.734611,0.549033,0.490720,0.126667,0.371000,0.000000,0.500000,30
3104,0.718695,0.515868,0.483272,0.131381,0.412503,0.000000,0.500000,31
8906,0.667501,0.409196,0.471340,0.151096,0.586074,0.000000,0.500000,32
9305,0.666902,0.407947,0.461748,0.147748,0.556598,0.000000,0.500000,33
2615,0.641308,0.354617,0.461196,0.159654,0.661419,0.000000,0.500000,34
0503,0.628957,0.328881,0.451398,0.161791,0.680231,0.000000,0.500000,35
2703,0.704845,0.487010,0.445204,0.123524,0.343327,0.000000,0.500000,36
9205,0.776593,0.636511,0.442900,0.088689,0.036646,0.000000,0.500000,37
0510,0.634306,0.340027,0.439954,0.154926,0.619791,0.000000,0.500000,38
8406,0.682927,0.441338,0.435032,0.130047,0.400764,0.000000,0.500000,39
2616,0.575162,0.216786,0.427442,0.178185,0.824569,0.000000,0.500000,40
7102,0.669098,0.412522,0.418539,0.130349,0.403417,0.000000,0.500000,41
9012,0.753003,0.587357,0.411678,0.088034,0.030879,0.000000,0.500000,42
2403,0.554576,0.173893,0.399933,0.177514,0.818657,0.000000,0.500000,43
7206,0.608061,0.285339,0.398199,0.151540,0.589984,0.000000,0.500000,44
4404,0.534706,0.132489,0.394353,0.184807,0.882864,0.000000,0.500000,45
7409,0.639347,0.350530,0.392682,0.134642,0.441215,0.000000,0.500000,46
7316,0.636409,0.344408,0.388423,0.134420,0.439258,0.000000,0.500000,47
7901,0.593742,0.255502,0.381065,0.151831,0.592545,0.000000,0.500000,48
1203,0.658778,0.391019,0.373734,0.118270,0.297074,0.000000,0.500000,49
1506,0.638301,0.348350,0.358228,0.122092,0.330725,0.000000,0.500000,50
1507,0.520411,0.102703,0.355047,0.176691,0.811416,0.000000,0.500000,51
2714,0.499028,0.058147,0.349438,0.184689,0.881831,0.000000,0.500000,52
1521,0.577249,0.221135,0.347303,0.146855,0.548741,0.000000,0.500000,53
0506,0.584558,0.236365,0.346398,0.143053,0.515261,0.000000,0.500000,54
4006,0.595353,0.258861,0.327180,0.130666,0.406211,0.000000,0.500000,55
2911,0.653231,0.379461,0.316458,0.099210,0.129269,0.000000,0.500000,56
2929,0.642036,0.356133,0.305125,0.100219,0.138152,0.000000,0.500000,57
9204,0.633522,0.338393,0.299426,0.102091,0.154632,0.000000,0.500000,58
5701,0.500985,0.062225,0.296406,0.163685,0.696904,0.000000,0.500000,59
7106,0.548636,0.161514,0.295066,0.140621,0.493857,0.000000,0.500000,60
2840,0.562673,0.190764,0.294673,0.133828,0.434048,0.000000,0.500000,61
6811,0.516078,0.093672,0.279829,0.150264,0.578753,0.000000,0.500000,62
6703,0.530817,0.124386,0.275049,0.141477,0.501391,0.000000,0.500000,63
9304,0.526313,0.115000,0.267011,0.140566,0.493369,0.000000,0.500000,64
6808,0.513234,0.087747,0.261421,0.144641,0.529242,0.000000,0.500000,65
6603,0.540723,0.145026,0.260078,0.131120,0.410209,0.000000,0.500000,66
7413,0.499389,0.058898,0.259078,0.150307,0.579131,0.000000,0.500000,67
4504,0.509784,0.080558,0.256697,0.144485,0.527875,0.000000,0.500000,68
5003,0.572982,0.212244,0.253519,0.113367,0.253909,0.000000,0.500000,69
2837,0.574693,0.215810,0.251269,0.111705,0.239277,0.000000,0.500000,70
1903,0.512759,0.086758,0.245501,0.138838,0.478154,0.000000,0.500000,71
2524,0.525588,0.113489,0.244589,0.132420,0.421651,0.000000,0.500000,72
5909,0.531144,0.125067,0.239608,0.127904,0.381894,0.000000,0.500000,73
1107,0.484350,0.027562,0.229563,0.146251,0.543419,0.000000,0.500000,74
9111,0.588339,0.244245,0.227962,0.096421,0.104716,0.000000,0.500000,75
6602,0.542946,0.149659,0.221500,0.115461,0.272348,0.000000,0.500000,76
8463,0.532349,0.127577,0.220488,0.120094,0.313138,0.000000,0.500000,77
0905,0.539462,0.142398,0.219591,0.116388,0.280509,0.000000,0.500000,78
7226,0.525521,0.113350,0.217736,0.122285,0.332419,0.000000,0.500000,79
1603,0.523144,0.108397,0.215721,0.122647,0.335610,0.000000,0.500000,80
2917,0.511773,0.084704,0.206154,0.124407,0.351107,0.000000,0.500000,81
7011,0.503105,0.066641,0.204321,0.127816,0.381119,0.000000,0.500000,82
9202,0.506314,0.073327,0.202371,0.125559,0.361248,0.000000,0.500000,83
7402,0.471123,0.000000,0.201016,0.141704,0.503387,0.000000,0.500000,84
4419,0.475718,0.009575,0.198618,0.138621,0.476245,0.000000,0.500000,85
9307,0.525325,0.112942,0.183821,0.109536,0.220184,0.000000,0.500000,86
5406,0.488827,0.036891,0.182839,0.126441,0.369016,0.000000,0.500000,87
7410,0.561920,0.189195,0.181819,0.091456,0.061007,0.000000,0.500000,88
8805,0.496874,0.053658,0.176154,0.120101,0.313198,0.000000,0.500000,89
1802,0.500180,0.060546,0.173820,0.117653,0.291641,0.000000,0.500000,90
2934,0.568963,0.203870,0.172743,0.084686,0.001402,0.000000,0.500000,91
6701,0.479200,0.016831,0.172047,0.126912,0.373161,0.000000,0.500000,92
1804,0.508887,0.078689,0.168263,0.111427,0.236834,0.000000,0.500000,93
9203,0.526152,0.114664,0.161095,0.100541,0.140989,0.000000,0.500000,94
8111,0.507806,0.076437,0.151178,0.105470,0.184388,0.000000,0.500000,95
