hs4,score,rank,density,pci,section
9014,0.951036,1,0.136265,2.369244,90
2206,0.950638,2,0.176943,0.316165,22
8901,0.932072,3,0.138063,-0.177623,89
2306,0.915475,4,0.186205,-1.432262,23
9001,0.897532,5,0.121880,2.809274,90
7108,0.887401,6,0.175491,-3.642022,71
7118,0.886207,7,0.146254,1.329457,71
4002,0.876571,8,0.115349,2.555311,40
9615,0.851840,9,0.123126,0.837792,96
0908,0.849375,10,0.175452,-2.049518,09
4601,0.847012,11,0.173155,-1.907752,46
8907,0.837777,12,0.173249,0.149866,89
2301,0.824658,13,0.183861,-1.867806,23
0201,0.821787,14,0.148005,-0.276998,02
8902,0.819515,15,0.174461,-0.374497,89
9206,0.804101,16,0.127547,-0.000709,92
0104,0.780601,17,0.188070,-2.100656,01
8904,0.779507,18,0.147823,-0.719025,89
9205,0.776593,19,0.088689,4.186753,92
3812,0.765837,20,0.112359,2.901120,38
4001,0.757103,21,0.134290,-2.684691,40
9012,0.753003,22,0.088034,4.897123,90
0511,0.751490,23,0.170784,-1.144157,05
2709,0.735214,24,0.151947,-3.553796,27
9209,0.734611,25,0.126667,2.946920,92
3103,0.730936,26,0.148155,-1.133680,31
5302,0.729752,27,0.138414,0.684605,53
8404,0.726432,28,0.133564,2.912310,84
3104,0.718695,29,0.131381,-0.871286,31
7801,0.717502,30,0.198112,-1.999487,78
2703,0.704845,31,0.123524,1.853817,27
8405,0.702851,32,0.152997,1.089373,84
8406,0.682927,33,0.130047,1.309037,84
1801,0.673139,34,0.159400,-3.810051,18
7102,0.669098,35,0.130349,-1.006945,71
8906,0.667501,36,0.151096,0.737170,89
9305,0.666902,37,0.147748,2.288595,93
1203,0.658778,38,0.118270,-2.156997,12
2911,0.653231,39,0.099210,3.536539,29
2929,0.642036,40,0.100219,2.687747,29
2615,0.641308,41,0.159654,-3.869094,26
7409,0.639347,42,0.134642,1.450311,74
1506,0.638301,43,0.122092,2.099390,15
7316,0.636409,44,0.134420,0.636429,73
0510,0.634306,45,0.154926,-2.010015,05
9204,0.633522,46,0.102091,3.203518,92
0503,0.628957,47,0.161791,-0.904252,05
1402,0.628725,48,0.195512,-2.395511,14
7206,0.608061,49,0.151540,-0.712661,72
4006,0.595353,50,0.130666,1.927725,40
7901,0.593742,51,0.151831,-0.472804,79
9111,0.588339,52,0.096421,2.777724,91
0506,0.584558,53,0.143053,0.001849,05
1521,0.577249,54,0.146855,-2.654421,15
2616,0.575162,55,0.178185,-2.755613,26
2837,0.574693,56,0.111705,-0.671016,28
5003,0.572982,57,0.113367,-0.284852,50
2934,0.568963,58,0.084686,3.194949,29
2840,0.562673,59,0.133828,0.049713,28
7410,0.561920,60,0.091456,4.506084,74
2403,0.554576,61,0.177514,-0.180860,24
7106,0.548636,62,0.140621,0.247533,71
6602,0.542946,63,0.115461,1.461351,66
6603,0.540723,64,0.131120,1.797431,66
0905,0.539462,65,0.116388,-2.452661,09
9108,0.537456,66,0.084725,4.286001,91
4404,0.534706,67,0.184807,0.151425,44
8463,0.532349,68,0.120094,3.186352,84
5909,0.531144,69,0.127904,2.644956,59
6703,0.530817,70,0.141477,-1.760486,67
9304,0.526313,71,0.140566,1.477801,93
9203,0.526152,72,0.100541,3.111754,92
2524,0.525588,73,0.132420,-0.418651,25
7226,0.525521,74,0.122285,3.112020,72
9307,0.525325,75,0.109536,1.929022,93
1603,0.523144,76,0.122647,1.262306,16
1507,0.520411,77,0.176691,-1.607142,15
3914,0.516998,78,0.092304,4.314823,39
6811,0.516078,79,0.150264,0.147592,68
6808,0.513234,80,0.144641,0.807456,68
1903,0.512759,81,0.138838,-1.464193,19
2917,0.511773,82,0.124407,2.783230,29
4504,0.509784,83,0.144485,-0.072015,45
7218,0.509000,84,0.104292,2.802676,72
1804,0.508887,85,0.111427,-1.021351,18
8111,0.507806,86,0.105470,0.330877,81
9202,0.506314,87,0.125559,0.720604,92
7011,0.503105,88,0.127816,0.201632,70
5701,0.500985,89,0.163685,-0.806604,57
1802,0.500180,90,0.117653,-4.073425,18
7413,0.499389,91,0.150307,0.420860,74
2714,0.499028,92,0.184689,-1.407090,27
8805,0.496874,93,0.120101,0.241400,88
9114,0.496328,94,0.084527,3.028086,91
5406,0.488827,95,0.126441,0.248889,54
1107,0.484350,96,0.146251,0.171499,11
7002,0.479785,97,0.098870,2.598571,70
6701,0.479200,98,0.126912,1.257533,67
4419,0.475718,99,0.138621,0.644151,44
7402,0.471123,100,0.141704,-3.041333,74
