hs4,partner_iso3,score,rank,section
2203,PAK,0.984883,1,22
0204,KOR,0.979751,2,02
0204,IDN,0.977217,3,02
0508,BRA,0.971309,4,05
0204,BLR,0.969565,5,02
1604,KEN,0.967713,6,16
0508,FIN,0.966978,7,05
2203,KWT,0.966878,8,22
8522,PAK,0.966610,9,85
0301,ARG,0.966328,10,03
7103,SRB,0.965136,11,71
0204,PHL,0.964486,12,02
7103,LUX,0.964230,13,71
9507,IRN,0.963387,14,95
8903,JOR,0.962261,15,89
7204,UGA,0.961703,16,72
4816,EST,0.961539,17,48
0307,JOR,0.961221,18,03
0805,PAN,0.960736,19,08
9702,HRV,0.959381,20,97
7602,UGA,0.959349,21,76
0508,EST,0.958964,22,05
0204,PER,0.958721,23,02
0714,BIH,0.958007,24,07
0303,KWT,0.957131,25,03
0204,COL,0.956611,26,02
8411,SYR,0.955963,27,84
2203,QAT,0.955904,28,22
8512,MMR,0.955708,29,85
0301,PAN,0.954411,30,03
0907,THA,0.953562,31,09
7001,IDN,0.953056,32,70
0307,SLV,0.952526,33,03
8522,KEN,0.952293,34,85
7404,UGA,0.952248,35,74
8437,OMN,0.951591,36,84
8548,NPL,0.950960,37,85
0307,GEO,0.950391,38,03
1103,CHL,0.950378,39,11
0102,KOR,0.950148,40,01
7602,UZB,0.949771,41,76
4402,PER,0.949562,42,44
8543,SYR,0.949305,43,85
0702,PHL,0.948877,44,07
1605,GEO,0.948764,45,16
8526,MMR,0.948667,46,85
7213,PAK,0.947471,47,72
8709,ARG,0.947039,48,87
0102,SGP,0.946925,49,01
8472,URY,0.946152,50,84
8526,NPL,0.945799,51,85
8412,SYR,0.945705,52,84
0304,JOR,0.944865,53,03
2204,MMR,0.944764,54,22
7902,CHN,0.944759,55,79
8411,PSE,0.944661,56,84
8429,BGD,0.943738,57,84
0102,IDN,0.943723,58,01
0303,QAT,0.943692,59,03
0101,IDN,0.943610,60,01
9706,BLR,0.943298,61,97
0302,KWT,0.943285,62,03
8503,UZB,0.943217,63,85
0102,HKG,0.943049,64,01
8424,SYR,0.942933,65,84
8903,ECU,0.942331,66,89
8903,NGA,0.942313,67,89
9201,PHL,0.941914,68,92
0508,COL,0.941597,69,05
1806,MMR,0.941244,70,18
0102,VNM,0.940637,71,01
0101,VNM,0.940525,72,01
8522,LBN,0.940475,73,85
1504,SAU,0.940341,74,15
2303,HKG,0.940207,75,23
8450,MMR,0.939905,76,84
9606,LUX,0.939600,77,96
0508,ARG,0.939510,78,05
0204,PAN,0.939102,79,02
7207,PER,0.938853,80,72
2401,NOR,0.938385,81,24
4402,KAZ,0.937669,82,44
4011,NPL,0.937613,83,40
8472,NPL,0.937608,84,84
1605,UGA,0.937593,85,16
0907,NOR,0.937364,86,09
0604,ARG,0.937306,87,06
0102,TWN,0.937298,88,01
8522,BIH,0.937258,89,85
7902,BRA,0.937255,90,79
4403,KWT,0.937122,91,44
8528,SYR,0.936715,92,85
0204,TUN,0.936680,93,02
8450,NPL,0.936614,94,84
8437,BHR,0.936161,95,84
9702,IRN,0.936115,96,97
8483,PSE,0.935665,97,84
1001,IDN,0.935625,98,10
0301,KWT,0.935060,99,03
2401,NZL,0.934917,100,24
