hs4,gnn_logit,gnn_score,score,density,pci,cog,complexity_gain,section,rank,global_demand_value,global_demand_growth,global_market_concentration,historical_active_years,historical_export_persistence,supply_capacity,gnn_logit_percentile,gnn_score_percentile,density_percentile,pci_percentile,cog_percentile,global_demand_value_percentile,global_demand_growth_percentile,supply_capacity_percentile,adamic_adar,jaccard,cn,pref_attach,ranking_score,predicted_probability,probability_lower,probability_upper,average_rank,rank_std,rank_stability,ensemble_score,ensemble_rank,ensemble_method
2514,0.315467,0.578219,0.024850,0.153934,0.583322,0.000000,,25,1,77101079.000000,-0.060905,0.124554,18.000000,11.000000,63461388,0.687831,0.687831,0.833862,0.335450,0.142328,0.039153,0.105820,0.721164,,,,,-246.733808,0.024850,0.023816,0.025646,1.000000,0.000000,1.000000,0.024850,1,validation_pairwise_bootstrap
6308,0.312706,0.577546,0.024734,0.174784,0.609677,0.000000,,63,2,110675196.000000,-0.020180,0.083834,14.000000,9.000000,28626524,0.629630,0.629630,0.947090,0.340741,0.142328,0.051852,0.278307,0.701587,0.000000,0.000000,0.000000,79716.000000,-247.036923,0.024734,0.023719,0.025533,2.095238,0.293544,0.773070,0.024734,2,validation_pairwise_bootstrap
2509,0.322865,0.580022,0.024533,0.164446,0.252172,0.208292,,25,3,115753552.000000,-0.059486,0.068894,14.000000,7.000000,63461388,0.789418,0.789418,0.899471,0.280423,0.245503,0.056085,0.107937,0.721164,0.000000,0.000000,0.000000,78767.000000,-247.631213,0.024533,0.023537,0.025320,4.000000,1.195229,0.455533,0.024533,3,validation_pairwise_bootstrap
3814,0.327870,0.581241,0.024528,0.175674,0.848347,0.291359,,38,4,1747116318.000000,-0.020109,0.061210,19.000000,19.000000,1221685981,0.858201,0.858201,0.948148,0.385185,0.278307,0.413757,0.279365,0.989947,,,,,-247.656772,0.024528,0.023622,0.025421,4.047619,0.843812,0.542355,0.024528,4,validation_pairwise_bootstrap
2527,0.322907,0.580033,0.024404,0.137043,-2.147605,-0.235592,,25,5,35212874.000000,0.168468,0.271684,17.000000,17.000000,63461388,0.790476,0.790476,0.694180,0.059259,0.050794,0.016931,0.986243,0.721164,,,,,-247.758593,0.024404,0.023347,0.025181,5.238095,1.659167,0.376058,0.024404,5,validation_pairwise_bootstrap
8512,0.306546,0.576042,0.024266,0.147806,2.793501,0.000000,,85,6,32044987118.000000,0.054254,0.067590,18.000000,16.000000,869392763,0.484656,0.484656,0.796825,0.813757,0.142328,0.914286,0.874074,0.957672,,,,,-247.970958,0.024266,0.023157,0.024924,6.571429,1.049781,0.487857,0.024266,6,validation_pairwise_bootstrap
6909,0.287410,0.571362,0.024035,0.127531,2.999403,0.000000,,69,7,6023224519.000000,0.048208,0.109524,15.000000,9.000000,15119334,0.133333,0.133333,0.592593,0.840212,0.142328,0.653968,0.852910,0.580952,,,,,-248.098947,0.024035,0.022969,0.024738,8.809524,2.593381,0.278289,0.024035,7,validation_pairwise_bootstrap
7322,0.299945,0.574429,0.024089,0.144318,2.085500,0.693553,,73,8,3267170472.000000,-0.001376,0.071579,19.000000,19.000000,234437714,0.334392,0.334392,0.766138,0.660317,0.600000,0.538624,0.414815,0.806878,,,,,-248.121991,0.024089,0.023430,0.024769,8.238095,1.630214,0.380197,0.024089,8,validation_pairwise_bootstrap
6113,0.320642,0.579481,0.023973,0.172044,-0.312959,0.153250,,61,9,1052043995.000000,0.009388,0.106968,18.000000,11.000000,121336323,0.766138,0.766138,0.926984,0.210582,0.211640,0.311111,0.538624,0.782011,,,,,-248.137078,0.023973,0.023063,0.024976,9.428571,2.279754,0.304901,0.023973,9,validation_pairwise_bootstrap
8432,0.294453,0.573086,0.023880,0.147016,1.882325,0.743699,,84,10,7859391063.000000,0.002173,0.073444,19.000000,19.000000,686694105,0.241270,0.241270,0.788360,0.616931,0.643386,0.719577,0.449735,0.879894,,,,,-248.220854,0.023880,0.023239,0.024647,10.285714,1.955282,0.338377,0.023880,10,validation_pairwise_bootstrap
8446,0.295738,0.573400,0.023792,0.125774,1.758870,0.000000,,84,11,2127756432.000000,0.005914,0.186518,11.000000,3.000000,686694105,0.263492,0.263492,0.562963,0.594709,0.142328,0.460317,0.497354,0.879894,,,,,-248.250982,0.023792,0.022754,0.024538,11.190476,2.683620,0.271472,0.023792,11,validation_pairwise_bootstrap
8403,0.288550,0.571641,0.023572,0.140810,2.641818,0.971594,,84,12,6783783616.000000,-0.002545,0.098320,19.000000,19.000000,686694105,0.155556,0.155556,0.734392,0.789418,0.833862,0.684656,0.403175,0.879894,,,,,-248.373712,0.023572,0.022863,0.024124,13.285714,2.864277,0.258781,0.023572,12,validation_pairwise_bootstrap
8469,0.314947,0.578092,0.022732,0.093478,0.261113,0.304978,,84,13,146989.000000,-0.770395,0.170504,4.000000,3.000000,686694105,0.676190,0.676190,0.139683,0.282540,0.293122,0.001058,0.001058,0.879894,,,,,-248.381541,0.022732,0.019955,0.025086,22.952381,25.038021,0.038405,0.022732,13,validation_pairwise_bootstrap
2512,0.313051,0.577630,0.023593,0.142751,0.422215,0.369997,,25,14,172332795.000000,-0.034009,0.100062,13.000000,11.000000,63461388,0.640212,0.640212,0.748148,0.307937,0.342857,0.082540,0.201058,0.721164,,,,,-248.398025,0.023593,0.022904,0.024552,13.142857,2.396142,0.294452,0.023593,14,validation_pairwise_bootstrap
3921,0.316377,0.578441,0.023442,0.166292,2.248977,0.000000,,39,15,26241494264.000000,0.017950,0.058731,19.000000,19.000000,94858830,0.703704,0.703704,0.907937,0.703704,0.142328,0.896296,0.631746,0.752381,,,,,-248.438297,0.023442,0.022217,0.024383,14.714286,2.639316,0.274777,0.023442,15,validation_pairwise_bootstrap
3802,0.303304,0.575250,0.023220,0.124008,-0.215115,0.261033,,38,16,2494621361.000000,-0.002874,0.084801,19.000000,19.000000,1221685981,0.412698,0.412698,0.544974,0.223280,0.266667,0.488889,0.397884,0.989947,,,,,-248.517238,0.023220,0.022609,0.023959,16.809524,3.289508,0.233127,0.023220,16,validation_pairwise_bootstrap
