model,cutoff,seed,roc_auc,avg_precision,mrr,queries_evaluated,precision@10,recall@10,hits@10,map@10,ndcg@10,precision@20,recall@20,hits@20,map@20,ndcg@20,precision@50,recall@50,hits@50,map@50,ndcg@50,precision@100,recall@100,hits@100,map@100,ndcg@100
gat,2016,13,0.515045,0.003968,0.028082,192.000000,0.004167,0.008106,0.008106,0.004348,0.008118,0.005208,0.018179,0.018179,0.005028,0.012419,0.006042,0.060807,0.060807,0.006706,0.025328,0.005208,0.111749,0.111749,0.007468,0.037315
gat,2016,42,0.500987,0.003854,0.023704,192.000000,0.004167,0.007709,0.007709,0.003691,0.007095,0.005208,0.017783,0.017783,0.004342,0.011304,0.006042,0.060410,0.060410,0.006017,0.024205,0.005208,0.111353,0.111353,0.006791,0.036191
gat,2016,73,0.408669,0.003162,0.041819,192.000000,0.006771,0.019968,0.019968,0.006792,0.014498,0.006771,0.033237,0.033237,0.007566,0.019464,0.007708,0.091417,0.091417,0.009601,0.036723,0.006875,0.167028,0.167028,0.011005,0.054919
gat,2017,13,0.587547,0.004758,0.023880,192.000000,0.003125,0.008487,0.008487,0.002694,0.005834,0.007031,0.029310,0.029310,0.003967,0.014086,0.006354,0.077049,0.077049,0.005870,0.028039,0.004844,0.111353,0.111353,0.006369,0.036702
gat,2017,42,0.512525,0.003690,0.028077,192.000000,0.007292,0.023549,0.023549,0.006776,0.014169,0.007031,0.034640,0.034640,0.007670,0.018974,0.005000,0.056943,0.056943,0.008672,0.026200,0.005260,0.108642,0.108642,0.009629,0.039749
gat,2017,73,0.503486,0.003715,0.031250,192.000000,0.005208,0.014745,0.014745,0.004437,0.010192,0.006771,0.028078,0.028078,0.005299,0.015977,0.006458,0.078785,0.078785,0.006880,0.029741,0.005521,0.120942,0.120942,0.007787,0.041173
gat,2018,13,0.514570,0.003833,0.033943,191.000000,0.005759,0.009643,0.009643,0.004064,0.009761,0.004712,0.015306,0.015306,0.004194,0.011892,0.004293,0.041113,0.041113,0.005104,0.019748,0.004974,0.099274,0.099274,0.006222,0.034622
gat,2018,42,0.623354,0.005236,0.030131,191.000000,0.008377,0.012844,0.012844,0.004649,0.011090,0.005497,0.016694,0.016694,0.004776,0.012447,0.005864,0.056108,0.056108,0.006189,0.024565,0.005969,0.114519,0.114519,0.007362,0.039813
gat,2018,73,0.514283,0.003830,0.046015,191.000000,0.012042,0.017555,0.017555,0.006083,0.016056,0.008901,0.027868,0.027868,0.006438,0.019680,0.005550,0.053229,0.053229,0.007359,0.027205,0.005550,0.109947,0.109947,0.008445,0.041835
gat,2019,13,0.594855,0.005415,0.038213,193.000000,0.008808,0.014902,0.014902,0.006069,0.013419,0.010104,0.038879,0.038879,0.007577,0.022610,0.008187,0.090595,0.090595,0.009473,0.036911,0.007824,0.193071,0.193071,0.011484,0.060274
gat,2019,42,0.536094,0.004086,0.027110,193.000000,0.006736,0.023877,0.023877,0.005440,0.013110,0.007254,0.045668,0.045668,0.007212,0.020734,0.004870,0.066421,0.066421,0.007991,0.026996,0.005803,0.129254,0.129254,0.009123,0.043845
gat,2019,73,0.514440,0.003899,0.032634,193.000000,0.007772,0.025259,0.025259,0.006477,0.015184,0.008031,0.056304,0.056304,0.008721,0.024721,0.005078,0.073041,0.073041,0.009406,0.030300,0.004767,0.113751,0.113751,0.010165,0.041349
