origin_iso3,hs4,partner_iso3,destination_gnn_logit,destination_gnn_score,supply_gnn_logit,supply_gnn_score,market_data_available,destination_import_value,destination_import_growth,market_concentration,competitor_count,mkd_existing_export_value,mkd_historical_export_value,mkd_bilateral_trade,gravity_data_available,distance,contiguous,common_language,fta,macro_data_available,destination_gdp,destination_gdp_pc,destination_population,mkd_supply_capacity,mkd_supply_growth,tariff_data_available,tariff_rate,section,score,rank,ranking_score,predicted_probability,probability_lower,probability_upper,average_rank,rank_std,rank_stability,ensemble_score,ensemble_rank,ensemble_method
MKD,7112,HRV,0.476541,0.616931,0.334271,0.582798,1.000000,104701.000000,10.000000,0.987182,2.000000,0.000000,0.000000,692429619.100000,1.000000,609.000000,0.000000,0.000000,1.000000,1.000000,61668280700.096802,15460.456080,3988775.000000,12069075.000000,0.326031,0.000000,0.000000,71,0.999996,1,33.845782,0.999996,0.999989,1.000000,2497.000000,11157.979408,0.000090,0.999996,1,validation_pairwise_bootstrap
MKD,7112,BEL,0.515947,0.626200,0.334271,0.582798,1.000000,2653174547.789000,9.294945,0.114348,97.000000,0.000000,0.000000,1043281485.930000,1.000000,1634.000000,0.000000,0.000000,1.000000,1.000000,542638913427.921021,47487.210039,11427054.000000,12069075.000000,0.326031,0.000000,0.000000,71,0.999864,2,33.264112,0.999864,0.999974,1.000000,1111.428571,4957.043470,0.000202,0.999864,2,validation_pairwise_bootstrap
MKD,2307,NLD,0.495150,0.621319,0.294010,0.572977,1.000000,11705.594000,10.000000,0.507953,12.000000,0.000000,0.000000,672982275.210000,1.000000,1696.000000,0.000000,0.000000,1.000000,1.000000,929733599796.862061,53955.077002,17231624.000000,41255.000000,-0.080159,0.000000,0.000000,23,0.999992,3,33.051728,0.999992,0.999995,1.000000,2663.333333,11853.171677,0.000084,0.999992,3,validation_pairwise_bootstrap
MKD,2521,BIH,0.356105,0.588097,0.325760,0.580727,1.000000,634.000000,10.000000,0.996855,2.000000,0.000000,0.000000,536348964.350000,1.000000,324.000000,0.000000,0.000000,1.000000,1.000000,20484058033.114399,6047.847072,3387000.000000,12511.000000,0.000000,0.000000,0.000000,25,0.999940,4,31.933079,0.999940,0.999944,1.000000,2940.333333,12951.270757,0.000077,0.999940,4,validation_pairwise_bootstrap
MKD,7902,HRV,0.510238,0.624862,0.359090,0.588820,1.000000,754083.000000,8.589979,0.997552,7.000000,0.000000,0.000000,692429619.100000,1.000000,609.000000,0.000000,0.000000,1.000000,1.000000,61668280700.096802,15460.456080,3988775.000000,69510.000000,-0.016166,0.000000,0.000000,79,0.994162,5,30.877354,0.994162,0.999802,1.000000,2623.047619,11631.141264,0.000086,0.994162,5,validation_pairwise_bootstrap
MKD,7802,ROU,0.480236,0.617804,0.385229,0.595134,1.000000,363548.920000,8.537831,0.516642,6.000000,0.000000,0.000000,1440640478.750000,1.000000,466.000000,0.000000,0.000000,0.000000,1.000000,241791427223.903015,12416.134318,19473970.000000,70717.000000,0.235835,0.000000,0.000000,78,0.967121,6,30.491055,0.967121,0.999088,1.000000,2343.619048,10449.007925,0.000096,0.967121,6,validation_pairwise_bootstrap
MKD,8606,ESP,0.549749,0.634077,0.318375,0.578928,1.000000,1828583.191000,6.502149,0.829003,10.000000,0.000000,0.000000,679512645.430000,1.000000,2108.000000,0.000000,0.000000,1.000000,1.000000,1431642809327.060059,30602.421288,46782011.000000,0.000000,0.000000,0.000000,0.000000,86,0.952418,7,26.585436,0.952418,0.998666,1.000000,3345.000000,11934.171845,0.000084,0.952418,7,validation_pairwise_bootstrap
MKD,7401,NLD,0.500954,0.622684,0.304224,0.575475,1.000000,4447506.126000,5.980477,0.397130,36.000000,0.000000,0.000000,672982275.210000,1.000000,1696.000000,0.000000,0.000000,1.000000,1.000000,929733599796.862061,53955.077002,17231624.000000,10641.000000,-0.149871,0.000000,0.000000,74,0.952192,8,26.265981,0.952192,0.996280,1.000000,2409.380952,9493.586344,0.000105,0.952192,8,validation_pairwise_bootstrap
MKD,5505,SWE,0.487240,0.619456,0.347133,0.585922,1.000000,1212684.840000,5.244629,0.388405,11.000000,0.000000,0.000000,165912903.310000,1.000000,1942.000000,0.000000,0.000000,1.000000,1.000000,549649344043.182007,54018.455439,10175214.000000,79946.000000,-0.044139,0.000000,0.000000,55,0.950517,9,25.126334,0.950517,0.964831,1.000000,2017.714286,7604.279122,0.000131,0.950517,9,validation_pairwise_bootstrap
MKD,2521,SRB,0.430593,0.606015,0.325760,0.580727,1.000000,1500.000000,4.175492,0.840844,4.000000,18770.120000,34551.700000,3684071029.560000,1.000000,323.000000,1.000000,0.000000,0.000000,1.000000,52787520248.924202,7559.861657,6982604.000000,12511.000000,0.000000,0.000000,0.000000,25,0.947216,10,24.236698,0.947216,0.901110,1.000000,1496.857143,4790.808007,0.000209,0.947216,10,validation_pairwise_bootstrap
MKD,7305,SWE,0.446757,0.609868,0.301788,0.574879,1.000000,386853604.855000,4.459206,0.644957,31.000000,0.000000,0.000000,165912903.310000,1.000000,1942.000000,0.000000,0.000000,1.000000,1.000000,549649344043.182007,54018.455439,10175214.000000,645299.000000,-0.021568,0.000000,0.000000,73,0.950726,11,23.967561,0.950726,0.970238,1.000000,2016.714286,6101.533438,0.000164,0.950726,11,validation_pairwise_bootstrap
MKD,9706,SRB,0.428611,0.605542,0.324899,0.580518,1.000000,87023.000000,4.936269,0.381770,6.000000,0.000000,0.000000,3684071029.560000,1.000000,323.000000,1.000000,0.000000,0.000000,1.000000,52787520248.924202,7559.861657,6982604.000000,29290.000000,-0.062556,0.000000,0.000000,97,0.944062,12,23.918716,0.944062,0.842599,1.000000,2352.761905,8111.828934,0.000123,0.944062,12,validation_pairwise_bootstrap
MKD,8604,ROU,0.409787,0.601037,0.296145,0.573500,1.000000,275584.730000,5.688548,0.450016,5.000000,0.000000,0.000000,1440640478.750000,1.000000,466.000000,0.000000,0.000000,0.000000,1.000000,241791427223.903015,12416.134318,19473970.000000,0.000000,0.000000,0.000000,0.000000,86,0.949730,13,23.758966,0.949730,0.954895,1.000000,3746.714286,12240.867228,0.000082,0.949730,13,validation_pairwise_bootstrap
MKD,2608,TUR,0.515509,0.626097,0.325143,0.580577,1.000000,1471866.000000,3.068856,0.562602,10.000000,0.000000,0.000000,1717497910.950000,1.000000,637.000000,0.000000,0.000000,1.000000,1.000000,788356985773.666992,9684.118199,81407204.000000,62038331.000000,0.000000,0.000000,0.000000,26,0.923697,14,22.516115,0.923697,0.682277,1.000000,1196.809524,3237.855325,0.000309,0.923697,14,validation_pairwise_bootstrap
